2025-06-23 02:15:36.225 [http-nio-8080-exec-8] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:15:36.280 [http-nio-8080-exec-10] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:15:36.284 [http-nio-8080-exec-7] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:15:36.324 [http-nio-8080-exec-7] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:15:36.343 [http-nio-8080-exec-10] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
2025-06-23 02:15:41.834 [http-nio-8080-exec-6] INFO  c.codingtracker.controller.api.auth.AuthController - 请求获取用户个人信息: 用户名=admin
2025-06-23 02:15:41.841 [http-nio-8080-exec-6] INFO  c.codingtracker.controller.api.auth.AuthController - 成功返回用户个人信息: 用户名=admin
2025-06-23 02:15:43.196 [http-nio-8080-exec-9] INFO  c.c.controller.api.admin.AdminUserController - 管理员请求获取所有用户列表
2025-06-23 02:15:43.202 [http-nio-8080-exec-8] INFO  c.c.controller.api.admin.AdminUserController - 请求获取OJ平台列表
2025-06-23 02:15:43.204 [http-nio-8080-exec-8] INFO  c.c.controller.api.admin.AdminUserController - 成功返回OJ平台列表，共18个平台
2025-06-23 02:15:43.203 [http-nio-8080-exec-4] INFO  c.c.controller.api.auth.UserTagController - 请求获取所有用户标签
2025-06-23 02:15:43.212 [http-nio-8080-exec-4] INFO  c.c.controller.api.auth.UserTagController - 成功返回用户标签列表，共4个标签
2025-06-23 02:15:43.231 [http-nio-8080-exec-9] INFO  c.c.controller.api.admin.AdminUserController - 成功返回用户列表，共5个用户
2025-06-23 02:15:53.672 [http-nio-8080-exec-7] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:15:53.693 [http-nio-8080-exec-2] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:15:53.715 [http-nio-8080-exec-6] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:15:53.715 [http-nio-8080-exec-8] INFO  c.c.controller.api.auth.UserTagController - 请求获取所有用户标签
2025-06-23 02:15:53.723 [http-nio-8080-exec-4] INFO  c.c.controller.api.admin.AdminUserController - 请求获取OJ平台列表
2025-06-23 02:15:53.734 [http-nio-8080-exec-4] INFO  c.c.controller.api.admin.AdminUserController - 成功返回OJ平台列表，共18个平台
2025-06-23 02:15:53.733 [http-nio-8080-exec-5] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:15:53.741 [http-nio-8080-exec-8] INFO  c.c.controller.api.auth.UserTagController - 成功返回用户标签列表，共4个标签
2025-06-23 02:15:53.750 [http-nio-8080-exec-7] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:15:53.817 [http-nio-8080-exec-9] INFO  c.c.controller.api.user.UserListController - 请求获取所有用户列表
2025-06-23 02:15:53.820 [http-nio-8080-exec-5] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
2025-06-23 02:15:53.836 [http-nio-8080-exec-3] INFO  c.c.controller.api.training.UserTryController - 查询最近一次数据更新时间
2025-06-23 02:15:53.845 [http-nio-8080-exec-3] INFO  c.c.controller.api.training.UserTryController - 成功查询最近一次更新时间：-999999999-01-01T00:00
2025-06-23 02:15:53.851 [http-nio-8080-exec-2] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:15:53.863 [http-nio-8080-exec-6] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
2025-06-23 02:15:53.872 [http-nio-8080-exec-9] INFO  c.c.controller.api.user.UserListController - 成功返回用户列表，共4个用户
2025-06-23 02:15:53.947 [http-nio-8080-exec-10] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:15:53.948 [http-nio-8080-exec-4] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:15:53.992 [http-nio-8080-exec-10] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:15:54.006 [http-nio-8080-exec-4] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
2025-06-23 02:15:55.562 [http-nio-8080-exec-7] INFO  c.c.controller.api.training.UserTryController - 用户 admin 请求手动重建系统数据
2025-06-23 02:15:56.023 [http-nio-8080-exec-7] INFO  c.c.controller.api.training.UserTryController - 管理员 admin 成功触发手动重建任务（异步）
2025-06-23 02:15:56.087 [http-nio-8080-exec-5] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:15:56.088 [http-nio-8080-exec-3] INFO  c.c.controller.api.training.UserTryController - 查询最近一次数据更新时间
2025-06-23 02:15:56.090 [http-nio-8080-exec-3] INFO  c.c.controller.api.training.UserTryController - 成功查询最近一次更新时间：-999999999-01-01T00:00
2025-06-23 02:15:56.098 [http-nio-8080-exec-1] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:15:56.137 [http-nio-8080-exec-5] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
2025-06-23 02:15:56.147 [http-nio-8080-exec-1] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:22:18.763 [http-nio-8080-exec-5] INFO  c.codingtracker.controller.api.auth.AuthController - 用户登录尝试: 用户名=admin
2025-06-23 02:22:18.938 [http-nio-8080-exec-5] INFO  c.codingtracker.controller.api.auth.AuthController - 用户登录成功: 用户名=admin
2025-06-23 02:22:19.076 [http-nio-8080-exec-7] INFO  c.codingtracker.controller.api.auth.AuthController - 请求获取用户个人信息: 用户名=admin
2025-06-23 02:22:19.099 [http-nio-8080-exec-7] INFO  c.codingtracker.controller.api.auth.AuthController - 成功返回用户个人信息: 用户名=admin
